timestamp;value
2021/10/10-00:43:57;0;
2021/10/10-00:44:57;0;
2021/10/10-00:45:57;0;
2021/10/10-00:46:57;0;
2021/10/10-00:47:57;0;
2021/10/10-00:48:57;0;
2021/10/10-00:49:57;0;
2021/10/10-00:50:57;0;
2021/10/10-00:51:57;0;
2021/10/10-00:52:58;0;
2021/10/10-00:53:58;0;
2021/10/10-00:54:58;0;
2021/10/10-00:55:58;0;
2021/10/10-00:56:58;0;
2021/10/10-00:57:58;0;
2021/10/10-00:58:58;0;
2021/10/10-00:59:58;0;
2021/10/10-01:00:58;0;
2021/10/10-01:01:58;0;
2021/10/10-01:02:58;0;
2021/10/10-01:03:58;0;
2021/10/10-01:04:59;0;
2021/10/10-01:05:59;0;
2021/10/10-01:06:59;0;
2021/10/10-01:07:59;0;
2021/10/10-01:08:59;6;
2021/10/10-01:09:59;0;
2021/10/10-01:10:59;0;
2021/10/10-01:11:59;0;
2021/10/10-01:12:59;0;
2021/10/10-01:13:59;0;
2021/10/10-01:14:59;0;
2021/10/10-01:15:59;0;
2021/10/10-01:17:00;0;
2021/10/10-01:18:00;0;
2021/10/10-01:19:00;0;
2021/10/10-01:20:00;0;
2021/10/10-01:21:00;0;
2021/10/10-01:22:00;0;
2021/10/10-01:23:00;0;
2021/10/10-01:24:00;0;
2021/10/10-01:25:00;0;
2021/10/10-01:26:00;0;
2021/10/10-01:27:00;0;
2021/10/10-01:28:00;0;
2021/10/10-01:29:01;0;
2021/10/10-01:30:01;0;
2021/10/10-01:31:01;0;
2021/10/10-01:32:01;0;
2021/10/10-01:33:01;0;
2021/10/10-01:34:01;0;
2021/10/10-01:35:01;0;
2021/10/10-01:36:01;0;
2021/10/10-01:37:01;0;
2021/10/10-01:38:01;13;
2021/10/10-01:39:01;0;
2021/10/10-01:40:01;13;
2021/10/10-01:41:02;0;
2021/10/10-01:42:02;0;
2021/10/10-01:43:02;0;
2021/10/10-01:44:02;0;
2021/10/10-01:45:02;0;
2021/10/10-01:46:02;0;
2021/10/10-01:47:02;0;
2021/10/10-01:48:02;0;
2021/10/10-01:49:02;0;
2021/10/10-01:50:02;0;
2021/10/10-01:51:02;0;
2021/10/10-01:52:02;0;
2021/10/10-01:53:03;0;
2021/10/10-01:54:03;0;
2021/10/10-01:55:03;0;
2021/10/10-01:56:03;0;
2021/10/10-01:57:03;0;
2021/10/10-01:58:03;0;
2021/10/10-01:59:03;0;
2021/10/10-02:00:03;0;
